;X.Intercept.;age_class;samcam;scl.ats1;I.scl.ats1.2.;scl.clay;scl.cn;scl.mc;I.scl.mc.2.;scl.pH;scl.prec1;age_class.samcam;scl.cn.scl.pH;scl.mc.scl.pH;offset.log.area..;df;logLik;AICc;delta;weight;V21
8209;2.961768842;+;NA;NA;NA;-0.002120112;NA;NA;NA;NA;NA;NA;NA;NA;+;8;-231.3514885;479.5704469;3.695773172;0.035035375;anc.bm
33;1.575483599;+;NA;NA;NA;NA;0.002332382;NA;NA;NA;NA;NA;NA;NA;NA;8;-231.3918988;479.6512676;3.776593842;0.033647808;anc.bm
8225;2.96177796;+;NA;NA;NA;NA;0.002332382;NA;NA;NA;NA;NA;NA;NA;+;8;-231.3918988;479.6512676;3.776593842;0.033647808;anc.bm
12;1.496512424;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;-235.1129994;484.8966575;0;0.125500894;ancad.bm
81931;2.882806785;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;+;7;-235.1129994;484.8966575;2.27E-13;0.125500894;ancad.bm
13;1.720533505;+;NA;-0.17917538;-0.219424531;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9;-233.392121;485.875151;0.978493533;0.076943095;ancad.bm
8205;3.106827866;+;NA;-0.17917538;-0.219424531;NA;NA;NA;NA;NA;NA;NA;NA;NA;+;9;-233.392121;485.875151;0.978493533;0.076943095;ancad.bm
82011;3.042621608;+;NA;NA;-0.161452752;NA;NA;NA;NA;NA;NA;NA;NA;NA;+;8;-234.7344665;486.3364028;1.439745328;0.061095623;ancad.bm
92;1.656327247;+;NA;NA;-0.161452752;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-234.7344665;486.3364028;1.439745328;0.061095623;ancad.bm
84491;2.885984672;+;NA;NA;NA;NA;NA;NA;NA;0.18267633;NA;NA;NA;NA;+;8;-234.9233705;486.7142108;1.817553326;0.050578987;ancad.bm
2571;1.499690311;+;NA;NA;NA;NA;NA;NA;NA;0.18267633;NA;NA;NA;NA;NA;8;-234.9233705;486.7142108;1.817553326;0.050578987;ancad.bm
81971;2.887624192;+;NA;-0.125313619;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;+;8;-235.2661745;487.3998189;2.503161393;0.035899817;ancad.bm
51;1.501329831;+;NA;-0.125313619;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-235.2661745;487.3998189;2.503161393;0.035899817;ancad.bm
111;1.551938938;+;+;NA;-0.245780036;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;-233.0552371;487.4519376;2.555280145;0.034976374;ancad.bm
82031;2.938233299;+;+;NA;-0.245780036;NA;NA;NA;NA;NA;NA;NA;NA;NA;+;10;-233.0552371;487.4519376;2.555280145;0.034976374;ancad.bm
82571;2.883574114;+;NA;NA;NA;NA;NA;0.131999667;NA;NA;NA;NA;NA;NA;+;8;-235.4411529;487.7497756;2.853118124;0.030137005;ancad.bm
651;1.497279753;+;NA;NA;NA;NA;NA;0.131999667;NA;NA;NA;NA;NA;NA;NA;8;-235.4411529;487.7497756;2.853118124;0.030137005;ancad.bm
3;1.287356198;+;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9;-234.6017609;488.294431;3.39777352;0.022952483;ancad.bm
8195;2.673650559;+;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;+;9;-234.6017609;488.294431;3.39777352;0.022952483;ancad.bm
171;1.49675984;+;NA;NA;NA;0.055327837;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-235.7920392;488.4515484;3.554890914;0.021218372;ancad.bm
82091;2.883054201;+;NA;NA;NA;0.055327837;NA;NA;NA;NA;NA;NA;NA;NA;+;8;-235.7920392;488.4515484;3.554890914;0.021218372;ancad.bm
73;1.671351133;+;NA;NA;-0.17575258;NA;NA;0.150299761;NA;NA;NA;NA;NA;NA;NA;9;-234.6862381;488.4633852;3.566727752;0.021093164;ancad.bm
8265;3.057645494;+;NA;NA;-0.17575258;NA;NA;0.150299761;NA;NA;NA;NA;NA;NA;+;9;-234.6862381;488.4633852;3.566727752;0.021093164;ancad.bm
