"","field.ID","location","field","dgO","dgN","area","WRB","BO_Syst","soty","crop","age_class","age","y_est","samcam","season","year","date","pH","mc","cn","sand","silt","clay","ata1","atb1","hum1","ats1","prec1","rad1","ata2","atb2","hum2","ats2","prec2","rad2","soil_coverage","soil_tillage","fertilisation","weed_control","soil_compaction","compaction","ACA","ACH","ALO","ARO","END","LCA","LRU","LTR","LUM","OCY","OLA","UNK","ACA_BM","ACH_BM","ALO_BM","ARO_BM","END_BM","LCA_BM","LRU_BM","LTR_BM","LUM_BM","OCY_BM","OLA_BM","UNK_BM","anc","endo","epi","anc.bm","endo.bm","epi.bm","N","N.bm","SR","H","J","endad","endad.bm","ancad","ancad.bm"
"105","12","Ronneberg","RO_2011",9.609485,52.295013,1197,"Haplic_Luvisol","LLn","ttU","Silphie","B_Sp_young",2,2011,"2","spring",2013,2013-04-10,5.66,26.9970029086985,9.86,10.4,75.1,14.5,0.08,0.13,76.85,1.6,0.41,3037,7.43,7.23,90.15,5.24,0.8,1739,"60x60","0","4","4","4","3",2,0,1,0,0,0,0,8,0,0,0,0,1.149,0,4.024,0,0,0,0,17.911,0,0,0,0,9,2,0,21.935,1.149,0,11,23.084,3,0.759547391474863,0.691369830202511,2,1.1491,6,21.7545
"109","16","Dornburg","DO_MaisII",11.658923,51.002741,1792,"Mollic_Leptosol","BB-RR","uT","Maize","A_Cm",0,2013,"2","spring",2013,2013-04-15,7.43,22.1780490813616,8.91,5.1,61.1,33.8,1.64,3.02,69.08,3.87,1.17,3145,17.3,17.13,49.63,11.02,0,6042,"75x20","1","3","3","6","3",6,10,0,17,29,0,0,2,0,0,0,3,3.018,2.531,0,4.25,4.645,0,0,7.625,0,0,0,0,2,62,0,7.625,14.444,0,67,22.069,4,1.17456723419272,0.84727116198025,32,9.7124,2,7.6252
"113","17","Pahren","PA_Mais",11.910338,50.644899,52601,"stagnic_Luvisol","SSn","sL","Maize","A_Cm",0,2013,"2","spring",2013,2013-04-17,5.9,27.1601880506976,9.7,28.9,49.6,21.5,1.49,1.95,76.77,2.1,0.57,3451,14.95,15.03,63.46,9.49,0,5374,"75x24","1","4","3","6","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117","18","Ronneberg","RO_MaisII",9.602275,52.294314,14858,"Haplic_Luvisol","LLn","ttU","Maize","A_Cm",0,2013,"2","spring",2013,2013-04-10,7.19,24.1363074949755,10.45,9.4,72.1,18.5,0.08,0.13,76.85,1.6,0.41,3037,7.43,7.23,90.15,5.24,0.8,1739,"75x20","1","4","3","6","3",0,5,0,0,1,0,0,2,0,0,0,0,0,1.523,0,0,0.111,0,0,1.159,0,0,0,0,2,6,0,1.159,1.634,0,8,2.793,2,0.598269588585257,0.863120568566631,4,1.3079,0,0
"121","1","Dornburg","DO_2004",11.658097,51.003187,219,"Mollic_Leptosol","BB-RR","uuT","Silphie","E_Sp_old",9,2004,"3","autumn",2013,2013-10-08,5.71,16.4133591525137,8.33,10.8,55.2,34,10.91,13.39,73.71,15.11,1.72,2392,12.58,13.78,71,13.97,0,1849,"50x50","0","3","1","1","1",5,0,0,1,8,0,0,23,0,4,0,1,3.979,0,0,0.321,1.113,0,0,85.949,0,8.031,0,0,23,18,0,85.949,13.444,0,42,99.393,4,0.899273198647677,0.64868849204668,10,12.3316,22,85.8209
"125","2","Hessberg","HE_2004",10.78191,50.414685,285,"Terra_Fusca","CFn","uT","Silphie","E_Sp_old",9,2004,"3","autumn",2013,2013-10-16,5.11,32.5199528250176,8.98,12.3,50.4,37.3,8.98,10.15,80.53,11.61,2.4,2235,7.19,8.28,90.38,9.47,0.1,679,"50x50","0","3","2","2","2",9,0,0,12,13,0,0,41,1,0,0,6,5.899,0,0,3.112,0.948,0,0,132.337,0,0,0,0,41,34,0,132.337,9.959,0,82,142.296,3,0.871483486200598,0.793258454497292,19,8.4601,26,125.5085
"129","3","Dornburg","DO_2005",11.656257,51.003652,921,"Mollic_Leptosol","BB-RR","uuT","Silphie","E_Sp_old",8,2005,"3","autumn",2013,2013-10-08,7,17.2032149215154,10.95,6.1,63,30.9,10.91,13.39,73.71,15.11,1.72,2392,12.58,13.78,71,13.97,0,1849,"50x50","0","3","1","2","2",36,38,0,38,143,3,0,16,1,0,0,12,18.461,13.248,0,9.339,17.609,0.427,0,15.636,0.76,0,0,0,16,255,3,15.636,58.657,0.427,287,75.48,5,1.41626231293042,0.879973251523866,106,38.8181,14,13.8997
"133","4","Dornburg","DO_2007",11.657904,51.000938,2319,"Mollic_Leptosol","BB-RR","uuT","Silphie","D_Sp_int2",6,2007,"3","autumn",2013,2013-10-09,7.2,16.1641139102733,9.16,7.2,63.2,29.6,10.98,13.31,73.38,14.97,0.72,2392,12.93,13.7,70.58,14.13,0.8,2096,"50x50","0","3","1","2","2",7,0,0,11,16,0,0,21,6,0,2,0,4.804,0,0,3.28,1.674,0,0,59.236,2.082,0,1.63,0,21,36,0,59.236,11.388,0,63,72.706,4,1.14480414969258,0.825801634775292,20,9.7125,18,58.0999
"137","5","Erfurt","EF_2007",11.005805,50.98336,172,"Chernozem","TTn","uuT","Silphie","D_Sp_int2",6,2007,"3","autumn",2013,2013-10-15,6.73,27.9507333050419,12.36,12.7,60.2,27.1,10.46,9.66,83.28,12.06,1.12,2132,10.98,9.76,85.33,9.68,6.4,1289,"90x50","0","3","1","2","2",12,0,0,0,30,0,0,32,13,3,0,7,7.789,0,0,0,4.972,0,0,73.485,2.663,2.721,0,0,32,45,0,73.485,15.482,0,97,91.63,3,0.785929185687684,0.715383574163818,15,10.5107,21,69.8011
"141","6","Pahren","PA_2007",11.89876,50.653093,6676,"stagnic_Luvisol","SSn","ttU","Silphie","D_Sp_int2",6,2007,"3","autumn",2013,2013-10-07,5.87,15.8161040435457,8.59,28.9,51.1,20,10.34,11.59,78.7,12.51,2.49,2644,11.63,12.1,88.58,11.13,0,1075,"50x50","0","4","3","4","2",77,0,0,4,27,2,0,11,3,0,0,14,63.654,0,0,0.715,1.041,0.031,0,11.913,0.307,0,0,0,11,108,2,11.913,65.41,0.031,138,77.661,4,0.630727364300693,0.454973620314789,81,64.3686,11,11.9129
"145","7","Dornburg","DO_2009",11.657303,51.000746,1609,"Mollic_Leptosol","BB-RR","uuT","Silphie","C_Sp_int1",4,2009,"3","autumn",2013,2013-10-09,6.55,15.5193287003299,8.52,10.1,62.4,27.5,10.98,13.31,73.38,14.97,0.72,2392,12.93,13.7,70.58,14.13,0.8,2096,"50x50","0","4","1","3","2",13,0,0,4,17,0,0,6,0,0,0,2,13.817,0,0,0.641,1.86,0,0,26.346,0,0,0,0,6,34,0,26.346,16.318,0,42,42.664,3,0.977230046066199,0.889513121367805,17,14.4583,6,26.346
"149","8","Erfurt","EF_2009",11.004722,50.981567,2818,"Chernozem","TTn","uuT","Silphie","C_Sp_int1",4,2009,"3","autumn",2013,2013-10-16,7.21,27.7771322423159,13.15,10.2,62.1,27.7,8.98,10.15,80.53,11.61,2.4,2235,7.19,8.28,90.38,9.47,0.1,679,"90x50","0","3","1","3","2",37,14,0,4,161,0,0,19,5,0,0,13,41.158,4.757,0,1.061,14.123,0,0,26.43,1.166,0,0,0,19,216,0,26.43,61.099,0,253,88.695,4,1.1683855873786,0.842812046378625,53,45.8239,10,23.4735
"153","9","Poppenburg","PO_2009",9.780602,52.145969,120,"Haplic_Luvisol","LLn","tU","Silphie","C_Sp_int1",4,2009,"3","autumn",2013,2013-10-01,6,10.5505194942687,9.02,16.9,68.6,14.5,12.51,12.91,84.33,14.69,1.41,2695,6.28,6.37,77.22,10.49,0,3834,"50x50","0","3","2","2","2",10,0,19,2,12,0,0,18,1,1,0,9,4.624,0,16.261,0.391,1.414,0,0,24.952,0.134,1.559,0,0,37,25,0,41.213,7.988,0,72,49.335,5,1.26435945468107,0.785590699034091,13,6.5732,32,40.441
"157","10","Erfurt","EF_2011",10.999336,50.980493,9247,"Chernozem","TTn","uuT","Silphie","B_Sp_young",2,2011,"3","autumn",2013,2013-10-14,7.13,23.6229728034311,18.34,12.7,58,29.3,10.59,9.82,83.1,12.27,0.91,2176,7.01,6.19,91.38,8.07,0,1298,"90x50","0","3","1","3","2",1,0,0,3,20,0,0,6,0,0,0,1,0.799,0,0,0.974,2.153,0,0,15.702,0,0,0,0,6,24,0,15.702,3.926,0,31,19.628,3,0.89794572485678,0.81734542214651,4,1.7724,4,15.3569
"161","11","Niederdorla","ND_2011",10.399994,51.136251,9278,"Stagnic_Luvisol","SS-LL","tU","Silphie","B_Sp_young",2,2011,"3","autumn",2013,2013-10-14,6.65,29.6869070460001,8.82,10.1,69.6,20.3,10.59,9.82,83.1,12.27,0.91,2176,7.01,6.19,91.38,8.07,0,1298,"50x50","0","2","2","3","3",2,1,0,5,8,0,0,14,3,0,0,4,1.429,0.069,0,1.082,1.007,0,0,12.198,0.867,0,0,0,14,16,0,12.198,3.587,0,37,16.652,4,0.982847610726315,0.708974686972211,8,2.58,13,12.0209
"165","12","Ronneberg","RO_2011",9.609485,52.295013,1197,"Haplic_Luvisol","LLn","ttU","Silphie","B_Sp_young",2,2011,"3","autumn",2013,2013-11-30,5.27,21.183547165542,9.86,10.4,75.1,14.5,5.65,7.8,87.52,8.15,1.95,818,6.58,10.37,76.06,10.86,0,3965,"60x60","0","4","4","4","3",0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0.15,0,0,20.493,0,0,0,0,5,1,0,20.493,0.15,0,6,20.643,1,0,NA,0,0,5,20.4931
"169","16","Dornburg","DO_MaisII",11.658923,51.002741,1792,"Mollic_Leptosol","BB-RR","uT","Maize","A_Cm",0,2013,"3","autumn",2013,2013-10-08,6.94,15.9533775372422,8.91,5.1,61.1,33.8,10.91,13.39,73.71,15.11,1.72,2392,12.58,13.78,71,13.97,0,1849,"75x20","1","3","3","6","3",0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,6.175,0,0,0,0,1,1,0,6.175,0,0,5,6.175,1,0,NA,0,0,1,6.1748
"173","17","Pahren","PA_Mais",11.910338,50.644899,52601,"stagnic_Luvisol","SSn","sL","Maize","A_Cm",0,2013,"3","autumn",2013,2013-10-07,5.7,17.264497133639,9.7,28.9,49.6,21.5,10.34,11.59,78.7,12.51,2.49,2644,11.63,12.1,88.58,11.13,0,1075,"75x24","1","4","3","6","3",13,0,0,1,13,0,0,3,1,0,0,5,15.57,0,0,0.151,0.716,0,0,4.55,0.052,0,0,0,3,27,0,4.55,16.437,0,36,21.039,3,0.677908725644198,0.61705911415396,13,14.552,3,4.5493
"177","18","Ronneberg","RO_MaisII",9.602275,52.294314,14858,"Haplic_Luvisol","LLn","ttU","Maize","A_Cm",0,2013,"3","autumn",2013,2013-11-30,6.36,19.4136563473812,10.45,9.4,72.1,18.5,5.65,7.8,87.52,8.15,1.95,818.47,6.5833,10.3666,76.0625,10.8583,0,3965,"75x20","1","4","3","6","3",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.003,0,0,4.677,0,0,0,0,1,1,0,4.677,0.003,0,2,4.68,1,0,NA,0,0,1,4.6774
