WRB	BO_Syst	soty	crop	pH	mc	cn	sand	silt	clay	ata1	atb1	hum1	ats1	prec1	rad1	ata2	atb2	hum2	ats2	prec2	rad2
Chernozem	TTn	uuT	Silphie	7.22	21.47	12.36	12.70	60.20	27.10	11.85	10.47	75.37	12.79	1.12	2795.00	8.88	7.19	73.82	8.88	0.00	2836.00
Chernozem	TTn	uuT	Silphie	7.22	21.47	12.36	12.70	60.20	27.10	11.85	10.47	75.37	12.79	1.12	2795.00	8.88	7.19	73.82	8.88	0.00	2836.00
Chernozem	TTn	uuT	Silphie	7.22	21.47	12.36	12.70	60.20	27.10	11.85	10.47	75.37	12.79	1.12	2795.00	8.88	7.19	73.82	8.88	0.00	2836.00
Chernozem	TTn	uuT	Silphie	7.22	21.47	12.36	12.70	60.20	27.10	11.85	10.47	75.37	12.79	1.12	2795.00	8.88	7.19	73.82	8.88	0.00	2836.00
stagnic_Luvisol	SSn	ttU	Silphie	5.87	16.65	8.59	28.90	51.10	20.00	15.80	16.82	69.39	16.00	2.15	4485.67	9.98	11.52	72.06	13.83	5.00	4376.00
stagnic_Luvisol	SSn	ttU	Silphie	5.87	16.65	8.59	28.90	51.10	20.00	15.80	16.82	69.39	16.00	2.15	4485.67	9.98	11.52	72.06	13.83	5.00	4376.00
stagnic_Luvisol	SSn	ttU	Silphie	5.87	16.65	8.59	28.90	51.10	20.00	15.80	16.82	69.39	16.00	2.15	4485.67	9.98	11.52	72.06	13.83	5.00	4376.00
stagnic_Luvisol	SSn	ttU	Silphie	5.87	16.65	8.59	28.90	51.10	20.00	15.80	16.82	69.39	16.00	2.15	4485.67	9.98	11.52	72.06	13.83	5.00	4376.00
Mollic_Leptosol	BB-RR	uuT	Silphie	6.55	10.86	8.52	10.10	62.40	27.50	17.26	17.76	66.73	19.15	1.47	3918.60	14.78	14.84	71.10	16.25	0.00	3329.00
Mollic_Leptosol	BB-RR	uuT	Silphie	6.55	10.86	8.52	10.10	62.40	27.50	17.26	17.76	66.73	19.15	1.47	3918.60	14.78	14.84	71.10	16.25	0.00	3329.00
Mollic_Leptosol	BB-RR	uuT	Silphie	6.55	10.86	8.52	10.10	62.40	27.50	17.26	17.76	66.73	19.15	1.47	3918.60	14.78	14.84	71.10	16.25	0.00	3329.00
Mollic_Leptosol	BB-RR	uuT	Silphie	6.55	10.86	8.52	10.10	62.40	27.50	17.26	17.76	66.73	19.15	1.47	3918.60	14.78	14.84	71.10	16.25	0.00	3329.00
Chernozem	TTn	uuT	Silphie	7.24	16.31	13.15	10.20	62.10	27.70	11.85	10.47	75.37	12.79	1.12	2795.00	8.88	7.19	73.82	8.88	0.00	2836.00
Chernozem	TTn	uuT	Silphie	7.24	16.31	13.15	10.20	62.10	27.70	11.85	10.47	75.37	12.79	1.12	2795.00	8.88	7.19	73.82	8.88	0.00	2836.00
Chernozem	TTn	uuT	Silphie	7.24	16.31	13.15	10.20	62.10	27.70	11.85	10.47	75.37	12.79	1.12	2795.00	8.88	7.19	73.82	8.88	0.00	2836.00
Chernozem	TTn	uuT	Silphie	7.24	16.31	13.15	10.20	62.10	27.70	11.85	10.47	75.37	12.79	1.12	2795.00	8.88	7.19	73.82	8.88	0.00	2836.00
Haplic_Luvisol	LLn	tU	Silphie	6.26	11.87	9.02	16.90	68.60	14.50	10.41	10.65	84.22	11.47	1.60	2006.30	9.86	10.29	97.45	11.98	0.00	472.00
Haplic_Luvisol	LLn	tU	Silphie	6.26	11.87	9.02	16.90	68.60	14.50	10.41	10.65	84.22	11.47	1.60	2006.30	9.86	10.29	97.45	11.98	0.00	472.00
Haplic_Luvisol	LLn	tU	Silphie	6.26	11.87	9.02	16.90	68.60	14.50	10.41	10.65	84.22	11.47	1.60	2006.30	9.86	10.29	97.45	11.98	0.00	472.00
Haplic_Luvisol	LLn	tU	Silphie	6.26	11.87	9.02	16.90	68.60	14.50	10.41	10.65	84.22	11.47	1.60	2006.30	9.86	10.29	97.45	11.98	0.00	472.00
Chernozem	TTn	uuT	Silphie	7.36	15.50	18.34	12.70	58.00	29.30	11.85	10.47	75.37	12.79	1.12	2795.00	8.88	7.19	73.82	8.88	0.00	2836.00
Chernozem	TTn	uuT	Silphie	7.36	15.50	18.34	12.70	58.00	29.30	11.85	10.47	75.37	12.79	1.12	2795.00	8.88	7.19	73.82	8.88	0.00	2836.00
Chernozem	TTn	uuT	Silphie	7.36	15.50	18.34	12.70	58.00	29.30	11.85	10.47	75.37	12.79	1.12	2795.00	8.88	7.19	73.82	8.88	0.00	2836.00
