ACA_BM	ACH_BM	ALO_BM	ARO_BM	END_BM	LCA_BM	LRU_BM	LTR_BM	LUM_BM	OCY_BM	OLA_BM	UNK_BM
0.4008	0	0	0.8753	0.5466	0	0	15.1201	0	0	0	0
1.1078	0	0	0	2.1342	0	0	9.3336	1.5894	0	0	0
1.8649	0	0	0	1.4633	0	0	10.3251	0.9127	0	0	0
4.1741	0	0	0	0.7258	0	0	21.0989	0	1.9471	0	0
0.6424	0	0	0	0.6485	0	0	32.7272	0.1608	0.7744	0	0
12.2747	0	0	0	0.4544	0.0308	0	2.4924	0.2025	0	0	0
24.354	0	0	0.4196	0.0833	0	0	6.7647	0	0	0	0
9.897	0	0	0	0.0654	0	0	1.509	0	0	0	0
17.1281	0	0	0.2952	0.4392	0	0	1.1468	0.1038	0	0	0
0.7171	0	0	0.1459	0.6677	0	0	0	0	0	0	0
5.6608	0	0	0	0	0	0	7.385	0	0	0	0
0	0	0	0	0	0	0	18.961	0	0	0	0
7.4394	0	0	0.4951	1.1919	0	0	0	0	0	0	0
6.1385	1.7067	0	0.2847	3.9012	0	0	7.1231	0	0	0	0
16.3539	0.4759	0	0	0.6947	0	0	4.7092	0.279	0	0	0
12.5069	2.1488	0	0.2723	4.8237	0	0	13.1311	0.7876	0	0	0
6.1579	0.4252	0	0.5036	4.7031	0	0	1.4667	0.0993	0	0	0
0.1345	0	2.9139	0.1666	0.0885	0	0	6.7863	0	0	0	0
0.7877	0	5.1468	0	0.792	0	0	8.8858	0	0	0	0
2.6904	0	3.7558	0.2236	0.3164	0	0	1.1976	0	0	0	0
1.0111	0	4.4443	0	0.2165	0	0	8.0816	0.1341	1.5593	0	0
0	0	0	0.412	0.4008	0	0	2.5368	0	0	0	0
0.7986	0	0	0	0.5287	0	0	5.3339	0	0	0	0
0	0	0	0.5618	0.4673	0	0	7.5929	0	0	0	0
0	0	0	0	0.7561	0	0	0.2376	0	0	0	0
0	0	0	0.6977	0.525	0	0	6.7529	0	0	0	0
0.6582	0.0688	0	0.1162	0.2375	0	0	3.4225	0	0	0	0
0	0	0	0.2679	0.1481	0	0	2.022	0.6438	0	0	0
0.7712	0	0	0	0.0956	0	0	0	0.2229	0	0	0
0	0	0	0	0.1496	0	0	20.4931	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	6.1748	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
1.7751	0	0	0.1505	0.0939	0	0	2.5887	0	0	0	0
4.1333	0	0	0	0	0	0	0	0	0	0	0
8.0436	0	0	0	0.4682	0	0	1.9606	0	0	0	0
1.6176	0	0	0	0.154	0	0	0	0.0516	0	0	0
0	0	0	0	0.0034	0	0	0	0	0	0	0
0	0	0	0	0	0	0	4.6774	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
