season	year	ID	fieldID	field	hole	ACAad	ACAj	ACHad	ACHj	AROad	AROj	ENDad	ENDj	OCYa	OCYj	OLA
autumn	2013	132	3	DO_2005	4	4.997	1.1979	5.7826	0.2975	2.8567	0	0	5.1857	0	0	0
autumn	2013	133	4	DO_2007	1	1.8282	0	0	0	0.7047	0	0	0	0	0	0
autumn	2013	134	4	DO_2007	2	1.0335	0	0	0	0.907	0	0	0.6792	0	0	1.6299
autumn	2013	135	4	DO_2007	3	1.5406	0	0	0	0.7925	0	0	0.448	0	0	0
autumn	2013	136	4	DO_2007	4	0.4008	0	0	0	0.8753	0	0	0.5466	0	0	0
autumn	2013	137	5	EF_2007	1	1.1078	0	0	0	0	0	0	2.1342	0	0	0
autumn	2013	138	5	EF_2007	2	1.8649	0	0	0	0	0	0	1.4633	0	0	0
autumn	2013	139	5	EF_2007	3	4.1741	0	0	0	0	0	0	0.7258	1.9471	0	0
autumn	2013	140	5	EF_2007	4	0.6424	0	0	0	0	0	0	0.6485	0.7744	0	0
autumn	2013	141	6	PA_2007	1	12.2747	0	0	0	0	0	0	0.4544	0	0	0
autumn	2013	142	6	PA_2007	2	24.354	0	0	0	0.4196	0	0	0.0833	0	0	0
autumn	2013	143	6	PA_2007	3	9.897	0	0	0	0	0	0	0.0654	0	0	0
autumn	2013	144	6	PA_2007	4	17.1281	0	0	0	0.2952	0	0	0.4392	0	0	0
autumn	2013	145	7	DO_2009	1	0.7171	0	0	0	0.1459	0	0	0.6677	0	0	0
autumn	2013	146	7	DO_2009	2	5.6608	0	0	0	0	0	0	0	0	0	0
autumn	2013	147	7	DO_2009	3	0	0	0	0	0	0	0	0	0	0	0
autumn	2013	148	7	DO_2009	4	7.4394	0	0	0	0.4951	0	0	1.1919	0	0	0
autumn	2013	149	8	EF_2009	1	6.1385	0	1.7067	0	0.2847	0	0	3.9012	0	0	0
autumn	2013	150	8	EF_2009	2	16.3539	0	0.4759	0	0	0	0	0.6947	0	0	0
autumn	2013	151	8	EF_2009	3	12.5069	0	1.9102	0.2386	0.2723	0	0	4.8237	0	0	0
autumn	2013	152	8	EF_2009	4	5.246	0.9119	0.4252	0	0.5036	0	0	4.7031	0	0	0
autumn	2013	153	9	PO_2009	1	0.1345	0	0	0	0.1666	0	0	0.0885	0	0	0
autumn	2013	154	9	PO_2009	2	0.7877	0	0	0	0	0	0	0.792	0	0	0
autumn	2013	155	9	PO_2009	3	2.6904	0	0	0	0.2236	0	0	0.3164	0	0	0
autumn	2013	156	9	PO_2009	4	1.0111	0	0	0	0	0	0	0.2165	1.5593	0	0
autumn	2013	157	10	EF_2011	1	0	0	0	0	0.412	0	0	0.4008	0	0	0
autumn	2013	158	10	EF_2011	2	0.7986	0	0	0	0	0	0	0.5287	0	0	0
autumn	2013	159	10	EF_2011	3	0	0	0	0	0.5618	0	0	0.4673	0	0	0
autumn	2013	160	10	EF_2011	4	0	0	0	0	0	0	0	0.7561	0	0	0
