ID	field.ID	location	field	dgO	dgN	area	WRB	BO_Syst	soty	crop	age_class	age	y_est	samcam	season	year	date	hole	ACA	ACH	ALO	ARO	END	LCA	LRU	LTR	LUM	OCY	OLA	UNK	ACA_BM	ACH_BM	ALO_BM	ARO_BM	END_BM	LCA_BM	LRU_BM	LTR_BM	LUM_BM	OCY_BM	OLA_BM	UNK_BM	pH	mc	cn	sand	silt	clay	ata1	atb1	hum1	ats1	prec1	rad1	ata2	atb2	hum2	ats2	prec2	rad2	soil_coverage	soil_tillage	fertilisation	weed_control	soil_compaction	compaction
23	6	Pahren	PA_2007	11.89876	50.653093	6676	stagnic_Luvisol	SSn	ttU	Silphie	D_Sp_int2	5	2007	1	autumn	2012	19.09.2012	3	33	0	0	0	2	0	0	2	0	0	0	6	20.376	0.000	0.000	0.000	0.299	0.000	0.000	3.892	0.000	0.000	0.000	0	5.87	16.65	8.59	28.9	51.1	20	15.80	16.82	69.39	16.00	2.15	4486	9.98	11.52	72.06	13.83	5.00	4376	50x50	0	4	3	4	2
24	6	Pahren	PA_2007	11.89876	50.653093	6676	stagnic_Luvisol	SSn	ttU	Silphie	D_Sp_int2	5	2007	1	autumn	2012	19.09.2012	4	9	0	0	0	0	0	0	0	0	0	0	2	5.394	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	5.87	16.65	8.59	28.9	51.1	20	15.80	16.82	69.39	16.00	2.15	4486	9.98	11.52	72.06	13.83	5.00	4376	50x50	0	4	3	4	2
25	7	Dornburg	DO_2009	11.657303	51.000746	1609	Mollic_Leptosol	BB-RR	uuT	Silphie	C_Sp_int1	3	2009	1	autumn	2012	17.09.2012	1	1	0	0	1	1	0	0	0	0	0	0	1	0.172	0.000	0.000	0.000	0.059	0.000	0.000	0.000	0.000	0.000	0.000	0	6.55	10.86	8.52	10.1	62.4	27.5	17.26	17.76	66.73	19.15	1.47	3919	14.78	14.84	71.10	16.25	0.00	3329	50x50	0	3	2	2	2
26	7	Dornburg	DO_2009	11.657303	51.000746	1609	Mollic_Leptosol	BB-RR	uuT	Silphie	C_Sp_int1	3	2009	1	autumn	2012	17.09.2012	2	3	0	0	2	2	0	0	2	0	0	0	0	3.618	0.000	0.000	0.400	0.148	0.000	0.000	8.186	0.000	0.000	0.000	0	6.55	10.86	8.52	10.1	62.4	27.5	17.26	17.76	66.73	19.15	1.47	3919	14.78	14.84	71.10	16.25	0.00	3329	50x50	0	3	2	2	2
27	7	Dornburg	DO_2009	11.657303	51.000746	1609	Mollic_Leptosol	BB-RR	uuT	Silphie	C_Sp_int1	3	2009	1	autumn	2012	17.09.2012	3	4	0	0	3	0	0	0	2	0	0	0	0	3.355	0.000	0.000	0.538	0.000	0.000	0.000	5.745	0.000	0.000	0.000	0	6.55	10.86	8.52	10.1	62.4	27.5	17.26	17.76	66.73	19.15	1.47	3919	14.78	14.84	71.10	16.25	0.00	3329	50x50	0	3	2	2	2
28	7	Dornburg	DO_2009	11.657303	51.000746	1609	Mollic_Leptosol	BB-RR	uuT	Silphie	C_Sp_int1	3	2009	1	autumn	2012	17.09.2012	4	0	0	0	1	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.107	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	6.55	10.86	8.52	10.1	62.4	27.5	17.26	17.76	66.73	19.15	1.47	3919	14.78	14.84	71.10	16.25	0.00	3329	50x50	0	3	2	2	2
29	8	Erfurt	EF_2009	11.004722	50.981567	2818	Chernozem	TTn	uuT	Silphie	C_Sp_int1	3	2009	1	autumn	2012	16.10.2012	1	1	0	0	0	0	0	0	3	0	0	0	0	1.251	0.000	0.000	0.000	0.000	0.000	0.000	13.574	0.000	0.000	0.000	0	7.24	16.31	13.15	10.2	62.1	27.7	11.85	10.47	75.37	12.79	1.12	2795	8.88	7.19	73.82	8.88	0.00	2836	90x50	0	3	1	3	2
30	8	Erfurt	EF_2009	11.004722	50.981567	2818	Chernozem	TTn	uuT	Silphie	C_Sp_int1	3	2009	1	autumn	2012	16.10.2012	2	0	0	0	0	0	0	0	1	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	7.795	0.000	0.000	0.000	0	7.24	16.31	13.15	10.2	62.1	27.7	11.85	10.47	75.37	12.79	1.12	2795	8.88	7.19	73.82	8.88	0.00	2836	90x50	0	3	1	3	2
31	8	Erfurt	EF_2009	11.004722	50.981567	2818	Chernozem	TTn	uuT	Silphie	C_Sp_int1	3	2009	1	autumn	2012	16.10.2012	3	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	7.24	16.31	13.15	10.2	62.1	27.7	11.85	10.47	75.37	12.79	1.12	2795	8.88	7.19	73.82	8.88	0.00	2836	90x50	0	3	1	3	2
32	8	Erfurt	EF_2009	11.004722	50.981567	2818	Chernozem	TTn	uuT	Silphie	C_Sp_int1	3	2009	1	autumn	2012	16.10.2012	4	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	7.24	16.31	13.15	10.2	62.1	27.7	11.85	10.47	75.37	12.79	1.12	2795	8.88	7.19	73.82	8.88	0.00	2836	90x50	0	3	1	3	2
