"","covariates","anc","ancad","endo","endad","N","anc.juv","endo.juv","juv","anc.bm","ancad.bm","endo.bm","endad.bm","N.bm","anc.juv.bm","endo.juv.bm","juv.bm","SR","H"
"scl.pH","scl.pH",NA,"0.0130783885569543","0.0957760451836537","0.163459927377837","0.105146487665993",NA,"0.0215682592193809","0.0197278531060162","0.00871786064553765","0.0244960505880834","0.260352061310522","0.276647078868682","0.0636985023416891",NA,"0.0935524672097227","0.210084496629406","0.343939804299105",NA
"scl.clay","scl.clay","-0.116035586544863",NA,"0.309162314701932","0.137373518269997","0.0394018262233575","-0.530017678915324","0.252112746991501","0.104495317878372","0.00456937493178555",NA,NA,"-0.00738911897646783",NA,NA,"0.0217239953256277","-0.0182478439481999","-0.0201323956754565","0.0104946949742148"
"scl.ats1","scl.ats1","-3.65009228059526e-05","-0.223179899567547",NA,NA,NA,NA,NA,NA,"-0.0981110114464515","-0.139295501246613",NA,NA,"-0.107111391967681",NA,"-0.176565306603573",NA,NA,NA
"I(scl.ats1^2)","I(scl.ats1^2)","-0.352915122146667","-0.170505740564777",NA,NA,NA,"-0.612134248848017",NA,NA,"-0.0694291155836408","-0.191601941235296",NA,NA,"-0.0134045983828102",NA,"0.0292248098031387",NA,NA,NA
"scl.prec1","scl.prec1","0.185680773004768","-0.020322550262962","0.39812028071595","0.34117881147932","0.398775386208772","0.0988474996429927","0.478951787487833","0.566294560944346","0.0983823606025434","0.0394307733662904","0.286929398585098","0.30262159051337","0.321150996691705","0.0478363122553479","0.0818279682111555","0.122006756001609","0.399948988765086",NA
"age_class.L:samcam2","age_class.L:samcam2","-0.424508403171077",NA,"-1.0906877094363","-1.19620442398013","-0.947876383041762","-7.46947401254876","-0.988459292169455","-1.22011278488972",NA,NA,"0.0504441251833311",NA,NA,NA,"0.0536512499468286",NA,NA,NA
"age_class.Q:samcam2","age_class.Q:samcam2","0.0877162192292482",NA,"1.11803788317969","1.32964882304841","0.878077735819005","-5.42021507683345","1.05856683442876","0.677135969360992",NA,NA,"0.080033927791782",NA,NA,NA,"0.00987006981542877",NA,NA,NA
"age_class.C:samcam2","age_class.C:samcam2","0.851709459226565",NA,"0.306143423367772","0.404407539087391","0.322511778850784","12.1109317224163","-0.137977220364913","0.35426068810705",NA,NA,"0.0516877859066013",NA,NA,NA,"-0.0255529608410486",NA,NA,NA
"age_class^4:samcam2","age_class^4:samcam2","-1.03122023566357",NA,"-1.40981638912369","-0.42948483778159","-1.45042978641455","-10.8604117125766","-3.02697708225645","-2.77425425743063",NA,NA,"-0.151823074268626",NA,NA,NA,"-0.0979488922730271",NA,NA,NA
"age_class.L:samcam3","age_class.L:samcam3","0.0588625878889284",NA,"-0.238913223782087","-0.23805461996403","-0.378974862891474","4.53306251107716","-0.23100151059057","-0.539544760993887",NA,NA,"0.0945715585049931",NA,NA,NA,"0.0394802160650489",NA,NA,NA
"age_class.Q:samcam3","age_class.Q:samcam3","-0.156164805637039",NA,"0.350577975399471","0.747862706673016","0.0777247275684444","-14.229271665663","-0.306911865083231","-0.557857891427607",NA,NA,"0.0436655118910191",NA,NA,NA,"0.00596028153011085",NA,NA,NA
"age_class.C:samcam3","age_class.C:samcam3","0.521121896675631",NA,"0.131038483462692","-0.021965077795428","0.151722757529588","16.8880682101371","-0.174362382569988","0.393560444217665",NA,NA,"0.0563430140662438",NA,NA,NA,"0.00947810033918333",NA,NA,NA
"age_class^4:samcam3","age_class^4:samcam3","-0.612565723339284",NA,"0.0278869030932217","0.548218371796002","-0.254279449483955","-11.5527912581453","-0.596897963511102","-0.885129492280699",NA,NA,"0.0449108494065249",NA,NA,NA,"-0.00857114875839105",NA,NA,NA
"scl.mc:scl.pH","scl.mc:scl.pH",NA,NA,"0.296881793537905","0.271137888552922","0.171381134301172",NA,"0.230470421041822","0.0378070832687756",NA,NA,"0.218913078034079","0.0363397112708667",NA,NA,"0.0583500679278359",NA,"0.431759929751807",NA
"scl.cn:scl.pH","scl.cn:scl.pH",NA,NA,NA,"0.0343007761410274","0.02047288405872",NA,"0.00960254538034049",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
