"","X.Intercept.","age_class","samcam","scl.ats1","I.scl.ats1.2.","scl.clay","scl.cn","scl.mc","I.scl.mc.2.","scl.pH","scl.prec1","age_class.samcam","scl.cn.scl.pH","scl.mc.scl.pH","df","logLik","AICc","delta","weight","V20"
"M.51",1.54688314905309,"+",NA,-0.253607634394112,NA,NA,NA,NA,NA,0.14248985161561,0.279190242289416,NA,NA,NA,10,-244.955308603117,511.212392354162,3.84946780210146,0.0680173881470202,"ancad.bm"
"5060",0.471477287528096,"+","+",NA,NA,NA,NA,0.102802983572011,0.138571127704488,0.292334905350216,0.299833608270028,NA,NA,0.220576969119593,14,-160.82496967628,352.195393898015,0,0.460618166987721,"endo.bm"
"4932",0.675604640682246,"+","+",NA,NA,NA,NA,0.179775381868267,NA,0.237074847041965,0.251849522654061,NA,NA,0.187826472281157,13,-162.350351725753,352.893474535844,0.698080637829094,0.324903790638419,"endo.bm"
"59562",0.64913333845362,"+","+",NA,NA,NA,NA,0.214617379156118,NA,0.226926617074302,0.312357042334828,"+",NA,0.262431460997778,21,-152.938008378137,353.724118022097,1.52872412408283,0.21447804237386,"endo.bm"
"900",0.41081394776705,"+","+",NA,NA,NA,NA,NA,0.132778483009275,0.294318425069632,0.324443488015719,NA,NA,NA,12,-160.665256004383,347.19877548182,0,0.395908728712393,"endad.bm"
"772",0.568788828973505,"+","+",NA,NA,NA,NA,NA,NA,0.224190797645418,0.272502061217075,NA,NA,NA,11,-162.722003491475,349.015435554378,1.81666007255819,0.159629206335051,"endad.bm"
"50601",0.365110935742583,"+","+",NA,NA,NA,NA,0.0572773564301583,0.146461771916283,0.283553599168345,0.294276230317129,NA,NA,0.178070176614013,14,-159.303578817696,349.152612180846,1.95383669902645,0.149047545465163,"endad.bm"
"899",0.311589277825709,NA,"+",NA,NA,NA,NA,NA,0.144349671456568,0.314393917985899,0.325195186909586,NA,NA,NA,8,-166.542574224729,349.927253712616,2.72847823079604,0.101184399136722,"endad.bm"
"49321",0.579904683532074,"+","+",NA,NA,NA,NA,0.137813300106414,NA,0.223129620067619,0.243495476435827,NA,NA,0.144443223640704,13,-161.267058377519,350.726887839376,3.52811235755593,0.0678383400689956,"endad.bm"
"916",0.410612466992139,"+","+",NA,NA,-0.115634209677174,NA,NA,0.135725520640813,0.31188488228028,0.319529723043953,NA,NA,NA,13,-161.326853955808,350.846478995954,3.64770351413415,0.0639008040708426,"endad.bm"
"836",0.614372189282266,"+","+",NA,NA,NA,NA,0.118344680306259,NA,0.243159600633269,0.27155807664428,NA,NA,NA,12,-162.511417540331,350.891098553715,3.69232307189577,0.0624909762108321,"endad.bm"
"5161",1.63715770702802,"+","+",NA,NA,NA,NA,NA,NA,NA,0.312751267831672,NA,NA,NA,10,-220.076659342557,461.455093833044,0,0.286108829037844,"N.bm"
